                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58719,                0.67937,                0.96201,                0.98053,                      1,                  0.995,                0.83235,                0.69288,                0.92686,                0.99354,              0.0011059,              0.0011059,              0.0011059
                     37,                0.83183,                0.88995,                 1.2026,                0.98053,                      1,                  0.995,                0.83235,                0.69288,                0.92686,                0.99354,              0.0010894,              0.0010894,              0.0010894
                     38,                0.72896,                0.90828,                 1.0667,                0.98478,                0.99642,                  0.995,                0.81247,                0.73221,                 1.0275,                 1.0112,              0.0010729,              0.0010729,              0.0010729
                     39,                0.63022,                0.79485,                0.96728,                 0.9727,                0.93333,                0.99094,                0.80607,                0.72234,                  1.027,                 1.0162,              0.0010564,              0.0010564,              0.0010564
                     40,                 0.5977,                0.73912,                0.94407,                0.88973,                      1,                0.99094,                0.81922,                 0.6717,                0.95803,                 1.0287,              0.0010399,              0.0010399,              0.0010399
                     41,                0.66822,                0.78392,                 1.0037,                0.88973,                      1,                0.99094,                0.81922,                 0.6717,                0.95803,                 1.0287,              0.0010234,              0.0010234,              0.0010234
                     42,                0.71373,                 0.8549,                 1.0413,                0.93366,                      1,                  0.995,                0.82748,                0.63481,                0.87459,                 1.0333,              0.0010069,              0.0010069,              0.0010069
                     43,                0.58368,                0.71003,                0.94281,                0.97265,                      1,                  0.995,                0.85059,                0.61255,                0.84277,                 1.0208,             0.00099036,             0.00099036,             0.00099036
                     44,                0.61864,                0.73909,                0.98893,                0.99691,                0.99273,                  0.995,                0.82884,                0.69971,                0.87254,                 1.0333,             0.00097386,             0.00097386,             0.00097386
                     45,                0.64448,                0.69995,                0.93718,                0.99691,                0.99273,                  0.995,                0.82884,                0.69971,                0.87254,                 1.0333,             0.00095736,             0.00095736,             0.00095736
                     46,                0.72509,                0.79565,                 1.0224,                0.99312,                 0.9928,                  0.995,                0.83197,                0.71568,                0.84821,                 1.0235,             0.00094085,             0.00094085,             0.00094085
                     47,                0.66083,                0.76376,                0.99537,                0.99491,                      1,                  0.995,                0.86291,                  0.624,                0.82667,                0.97802,             0.00092435,             0.00092435,             0.00092435
                     48,                0.71166,                0.75429,                0.99944,                0.99209,                      1,                  0.995,                0.87845,                0.62038,                0.77451,                0.97605,             0.00090785,             0.00090785,             0.00090785
                     49,                0.64595,                0.68916,                0.99101,                0.99209,                      1,                  0.995,                0.87845,                0.62038,                0.77451,                0.97605,             0.00089134,             0.00089134,             0.00089134
                     50,                0.65092,                0.70109,                 1.0236,                0.99503,                      1,                  0.995,                0.83699,                0.64266,                0.71139,                0.98414,             0.00087484,             0.00087484,             0.00087484
                     51,                0.77524,                0.78897,                 1.0347,                0.99397,                0.96667,                0.99313,                0.77382,                0.77836,                0.80548,                  1.035,             0.00085834,             0.00085834,             0.00085834
                     52,                0.71759,                0.74594,                  1.012,                0.99362,                0.96667,                0.99147,                 0.7725,                0.79635,                0.81517,                 1.0509,             0.00084184,             0.00084184,             0.00084184
                     53,                0.65934,                0.74944,                0.99496,                0.99362,                0.96667,                0.99147,                 0.7725,                0.79635,                0.81517,                 1.0509,             0.00082533,             0.00082533,             0.00082533
                     54,                0.64351,                0.73236,                0.98148,                0.97835,                  0.997,                  0.995,                0.80634,                0.72926,                0.76134,                 1.0027,             0.00080883,             0.00080883,             0.00080883
                     55,                0.66233,                0.71642,                0.97052,                0.98523,                0.99878,                  0.995,                0.84817,                0.60427,                0.70419,                0.95703,             0.00079233,             0.00079233,             0.00079233
                     56,                0.64589,                 0.7456,                0.97436,                0.97408,                      1,                  0.995,                0.86455,                0.59149,                0.67928,                0.95256,             0.00077582,             0.00077582,             0.00077582
                     57,                0.68756,                0.75984,                 1.0332,                0.97408,                      1,                  0.995,                0.86455,                0.59149,                0.67928,                0.95256,             0.00075932,             0.00075932,             0.00075932
                     58,                 0.6393,                0.69576,                 1.0132,                0.98173,                      1,                  0.995,                0.86582,                0.58574,                0.71515,                0.93256,             0.00074282,             0.00074282,             0.00074282
                     59,                0.72973,                0.78513,                 1.0902,                0.98458,                      1,                  0.995,                0.87255,                0.58533,                0.69883,                 0.9125,             0.00072631,             0.00072631,             0.00072631
                     60,                0.62104,                0.65667,                0.97768,                0.98919,                      1,                  0.995,                0.85473,                0.60944,                0.67139,                0.91379,             0.00070981,             0.00070981,             0.00070981
                     61,                0.59652,                0.69297,                 1.0058,                0.98919,                      1,                  0.995,                0.85473,                0.60944,                0.67139,                0.91379,             0.00069331,             0.00069331,             0.00069331
                     62,                0.70068,                0.75524,                 1.0779,                0.99209,                      1,                  0.995,                 0.8541,                0.67297,                0.68801,                 0.9338,              0.0006768,              0.0006768,              0.0006768
                     63,                0.62263,                0.65745,                0.99204,                0.99415,                      1,                  0.995,                0.85137,                 0.6686,                0.68809,                0.93137,              0.0006603,              0.0006603,              0.0006603
                     64,                 0.5982,                0.64251,                0.95745,                0.99419,                      1,                  0.995,                0.86919,                0.59382,                0.65409,                0.89961,              0.0006438,              0.0006438,              0.0006438
                     65,                0.69279,                0.90602,                 1.0393,                0.99419,                      1,                  0.995,                0.86919,                0.59382,                0.65409,                0.89961,             0.00062729,             0.00062729,             0.00062729
                     66,                0.70209,                0.67825,                   1.06,                0.99442,                      1,                  0.995,                0.86652,                0.55336,                0.61743,                0.88638,             0.00061079,             0.00061079,             0.00061079
                     67,                0.57383,                0.67373,                0.99578,                 0.9681,                      1,                  0.995,                0.87638,                0.54719,                0.60696,                0.88594,             0.00059429,             0.00059429,             0.00059429
                     68,                 0.6498,                0.68788,                 1.0253,                0.97375,                      1,                  0.995,                0.87476,                0.54837,                0.62319,                0.88645,             0.00057778,             0.00057778,             0.00057778
                     69,                0.54894,                0.62845,                0.92328,                0.97375,                      1,                  0.995,                0.87476,                0.54837,                0.62319,                0.88645,             0.00056128,             0.00056128,             0.00056128
                     70,                0.62673,                0.75486,                 1.0897,                0.96766,                      1,                  0.995,                0.86919,                0.57433,                0.63759,                0.90032,             0.00054478,             0.00054478,             0.00054478
                     71,                0.62276,                0.63947,                0.91539,                 0.9683,                      1,                  0.995,                0.87455,                 0.5874,                0.66297,                0.90579,             0.00052827,             0.00052827,             0.00052827
                     72,                0.55569,                0.63344,                0.94248,                0.99588,                      1,                  0.995,                0.86953,                0.59689,                 0.6671,                0.90848,             0.00051177,             0.00051177,             0.00051177
                     73,                0.64079,                  0.676,                0.95817,                0.99588,                      1,                  0.995,                0.86953,                0.59689,                 0.6671,                0.90848,             0.00049527,             0.00049527,             0.00049527
                     74,                0.57868,                0.62012,                0.94541,                0.99569,                      1,                  0.995,                0.86805,                0.59087,                0.65553,                0.90373,             0.00047876,             0.00047876,             0.00047876
                     75,                0.50707,                0.58391,                0.90344,                0.99555,                      1,                  0.995,                0.86491,                0.56624,                0.62243,                0.89135,             0.00046226,             0.00046226,             0.00046226
                     76,                0.54933,                0.61421,                0.94283,                0.99508,                      1,                  0.995,                0.86316,                0.56558,                0.61039,                0.89492,             0.00044576,             0.00044576,             0.00044576
                     77,                0.56652,                0.60953,                0.97504,                0.99508,                      1,                  0.995,                0.86316,                0.56558,                0.61039,                0.89492,             0.00042925,             0.00042925,             0.00042925
                     78,                0.49339,                0.56172,                0.96311,                0.99502,                      1,                  0.995,                0.86278,                0.56996,                0.60529,                0.90138,             0.00041275,             0.00041275,             0.00041275
                     79,                0.53575,                0.60597,                0.94012,                0.99464,                      1,                  0.995,                0.86455,                0.59174,                 0.5907,                0.91063,             0.00039625,             0.00039625,             0.00039625
                     80,                0.51389,                0.57765,                0.92561,                0.99422,                      1,                  0.995,                0.86378,                 0.6037,                0.58508,                0.91137,             0.00037974,             0.00037974,             0.00037974
                     81,                0.57379,                0.61761,                0.99139,                0.99422,                      1,                  0.995,                0.86378,                 0.6037,                0.58508,                0.91137,             0.00036324,             0.00036324,             0.00036324
                     82,                0.51065,                0.54572,                0.87883,                0.99408,                      1,                  0.995,                0.87039,                0.57633,                 0.5896,                0.89604,             0.00034674,             0.00034674,             0.00034674
                     83,                0.58639,                0.57458,                0.95802,                 0.9948,                      1,                  0.995,                0.88347,                0.54954,                0.58125,                0.88496,             0.00033023,             0.00033023,             0.00033023
                     84,                0.62659,                 0.6843,                 1.0251,                0.99437,                      1,                  0.995,                0.88287,                0.54189,                0.57743,                0.88273,             0.00031373,             0.00031373,             0.00031373
                     85,                0.53388,                 0.5593,                0.92735,                0.99437,                      1,                  0.995,                0.88287,                0.54189,                0.57743,                0.88273,             0.00029723,             0.00029723,             0.00029723
                     86,                0.50283,                0.56983,                 0.9133,                0.99455,                      1,                  0.995,                0.88032,                0.54209,                0.58095,                0.88253,             0.00028072,             0.00028072,             0.00028072
                     87,                0.50567,                0.58847,                0.97797,                 0.9946,                      1,                  0.995,                0.87716,                 0.5513,                0.57362,                0.88823,             0.00026422,             0.00026422,             0.00026422
                     88,                0.54016,                0.65151,                0.95154,                0.99426,                      1,                  0.995,                0.86308,                0.56167,                0.56239,                0.89622,             0.00024772,             0.00024772,             0.00024772
                     89,                0.54602,                0.52605,                0.94553,                0.99426,                      1,                  0.995,                0.86308,                0.56167,                0.56239,                0.89622,             0.00023121,             0.00023121,             0.00023121
                     90,                 0.5733,                0.62809,                 0.9868,                0.99438,                      1,                  0.995,                0.86103,                0.57589,                 0.5681,                0.90517,             0.00021471,             0.00021471,             0.00021471
                     91,                0.36268,                0.63083,                0.81726,                 0.9944,                      1,                  0.995,                0.85484,                0.58668,                0.57299,                0.91139,             0.00019821,             0.00019821,             0.00019821
                     92,                0.36769,                0.57492,                0.83556,                0.99444,                      1,                  0.995,                0.85054,                0.59025,                0.57619,                0.91522,              0.0001817,              0.0001817,              0.0001817
                     93,                0.34809,                0.58863,                0.82087,                0.99444,                      1,                  0.995,                0.85054,                0.59025,                0.57619,                0.91522,              0.0001652,              0.0001652,              0.0001652
                     94,                0.35051,                0.57279,                0.80854,                0.99409,                      1,                  0.995,                0.85053,                0.58406,                0.58321,                0.91449,              0.0001487,              0.0001487,              0.0001487
                     95,                0.32181,                 0.5527,                0.84429,                0.99418,                      1,                  0.995,                0.84863,                0.57406,                0.58428,                0.91341,             0.00013219,             0.00013219,             0.00013219
                     96,                0.31488,                0.56819,                0.81083,                0.99428,                      1,                  0.995,                0.85757,                0.55941,                0.58346,                0.90866,             0.00011569,             0.00011569,             0.00011569
                     97,                 0.3557,                0.55511,                0.81633,                0.99428,                      1,                  0.995,                0.85757,                0.55941,                0.58346,                0.90866,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.31928,                0.56691,                0.83142,                0.99441,                      1,                  0.995,                0.85887,                0.54726,                0.58396,                0.90466,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.32919,                0.56329,                0.86438,                 0.9945,                      1,                  0.995,                0.86921,                0.53313,                0.58066,                0.89946,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.35978,                0.61678,                0.81138,                0.99451,                      1,                  0.995,                0.86862,                0.52482,                0.57313,                0.89626,             4.9677e-05,             4.9677e-05,             4.9677e-05
